7	67	18	65
7	68	36	66
7	69	62	59
7	70	76	59
7	71	11	69
7	72	59	74
7	73	61	76
7	74	63	39
7	75	27	56
7	76	60	74
7	77	59	59
7	78	72	62
7	79	30	80
7	80	59	58
7	81	39	76
7	82	60	57
7	83	23	66
7	84	67	86
7	85	63	81
7	86	74	73
7	87	30	57
7	88	82	56
7	89	77	63
7	90	61	55
7	91	62	55
7	92	79	76
7	93	39	75
7	94	24	94
7	95	69	84
7	96	82	91
7	97	25	62
7	98	43	84
7	99	65	75
7	100	25	76
7	101	28	59
7	102	83	58
7	103	94	66
7	104	28	59
7	105	34	57
7	106	56	69
7	107	.	.
7	108	.	.
7	109	.	.
7	110	.	.
7	111	.	.
7	112	.	.
8	1	23	55
8	2	9	21
8	3	13	60
8	4	85	30
8	5	15	21
8	6	6	21
8	7	1	7
8	8	25	70
8	9	30	3
8	10	80	11
8	11	0	0
8	12	5	5
8	13	0	10
8	14	0	59
8	15	0	36
8	16	18	9
8	17	63	5
8	18	9	7
8	19	33	74
8	20	29	63
8	21	30	61
8	22	9	24
8	23	59	63
8	24	95	42
8	25	75	59
8	26	12	13
8	27	72	48
8	28	13	60
8	29	50	34
8	30	15	22
8	31	11	65
8	32	12	26
8	33	76	34
8	34	31	59
8	35	78	20
8	36	83	10
8	37	70	35
8	38	71	63
8	39	.	.
8	40	.	.
8	41	.	.
8	42	.	.
8	43	.	.
8	44	29	29
8	45	19	46
8	46	8	56
8	47	16	76
8	48	33	75
8	49	19	66
8	50	13	72
8	51	57	75
8	52	89	84
8	53	20	62
8	54	10	60
8	55	.	.
8	56	84	62
8	57	62	75
8	58	64	36
8	59	8	57
8	60	0	58
8	61	2	61
8	62	2	72
8	63	85	74
8	64	77	64
8	65	62	63
8	66	90	65
8	67	4	15
8	68	87	69
8	69	10	65
8	70	21	12
8	71	20	63
8	72	82	70
8	73	87	15
8	74	0	23
8	75	.	.
8	76	64	84
8	77	16	17
8	78	10	41
8	79	30	32
8	80	90	71
8	81	23	76
8	82	20	19
8	83	69	76
8	84	20	68
8	85	81	29
8	86	16	68
8	87	71	79
8	88	75	79
8	89	30	28
8	90	70	72
8	91	24	74
8	92	91	67
8	93	77	64
8	94	70	9
8	95	1	67
8	96	0	64
8	97	20	67
8	98	10	68
8	99	13	24
8	100	42	28
8	101	30	67
8	102	13	29
8	103	20	69
8	104	83	71
8	105	71	61
8	106	68	75
8	107	62	72
8	108	22	73
8	109	82	72
8	110	19	70
8	111	63	67
8	112	22	35
8	113	16	24
8	114	15	33
8	115	21	25
8	116	16	39
8	117	14	18
8	118	.	.
8	119	.	.
8	120	.	.
9	1	30	60
9	2	30	40
9	3	50	50
9	4	65	65
9	5	66	69
9	6	38	38
9	7	.	.
9	8	67	58
9	9	59	57
9	10	37	66
9	11	30	63
9	12	.	.
9	13	43	60
9	14	59	48
9	15	27	73
9	16	.	.
9	17	34	62
9	18	37	63
9	19	69	71
9	20	62	69
9	21	64	66
9	22	.	.
9	23	59	60
9	24	42	59
9	25	64	67
9	26	65	60
9	27	60	72
9	28	40	67
9	29	38	69
9	30	41	62
9	31	39	66
9	32	37	69
9	33	64	64
9	34	62	68
9	35	.	.
9	36	37	66
9	37	65	69
9	38	63	42
9	39	.	.
9	40	17	45
9	41	42	61
9	42	39	60
9	43	.	.
9	44	22	64
9	45	46	69
9	46	.	.
9	47	66	63
9	48	40	66
9	49	43	73
9	50	64	69
9	51	67	71
9	52	41	71
9	53	35	66
9	54	.	.
9	55	59	69
9	56	60	57
9	57	40	59
9	58	38	58
9	59	37	57
9	60	43	57
9	61	63	63
9	62	36	60
9	63	63	66
9	64	40	56
9	65	64	61
9	66	69	37
9	67	.	.
9	68	45	65
9	69	60	60
9	70	63	42
9	71	34	70
9	72	35	66
9	73	63	64
9	74	40	66
9	75	.	.
9	76	43	60
9	77	40	66
9	78	38	61
9	79	61	62
9	80	63	69
9	81	64	69
9	82	41	67
9	83	62	66
9	84	39	67
9	85	69	73
9	86	64	57
9	87	64	62
9	88	69	66
9	89	40	62
9	90	64	66
9	91	38	61
9	92	62	65
9	93	69	63
9	94	.	.
9	95	28	67
9	96	20	66
9	97	46	69
9	98	42	68
9	99	62	67
9	100	64	69
9	101	57	39
9	102	39	69
9	103	.	.
9	104	64	71
9	105	36	69
9	106	.	.
9	107	66	70
9	108	42	74
9	109	61	76
9	110	42	77
9	111	61	76
9	112	.	.
9	113	61	42
9	114	34	60
9	115	.	.
9	116	67	67
9	117	.	.
9	118	.	.
9	119	.	.
9	120	.	.
10	1	60	26
10	2	53	2
10	3	61	38
10	4	76	23
10	5	65	19
10	6	71	22
10	7	.	.
10	8	63	4
10	9	67	14
10	10	47	50
10	11	61	32
10	12	37	65
10	13	59	59
10	14	37	42
10	15	32	68
10	16	69	61
10	17	56	63
10	18	67	32
10	19	41	33
10	20	.	.
10	21	63	29
10	22	26	57
10	23	48	40
10	24	58	58
10	25	59	58
10	26	30	54
10	27	.	.
10	28	25	81
10	29	59	25
10	30	31	38
10	31	61	39
10	32	56	16
10	33	28	19
